64	2.538e-06	3.529e-06	6.029e-06	3.983e-06
128	4.879e-06	6.802e-06	1.1807e-05	8.661e-06
256	9.238e-06	1.3493e-05	2.2286e-05	2.1326e-05
512	2.2362e-05	2.6612e-05	5.7108e-05	4.9834e-05
1024	5.2769e-05	6.969e-05	8.4352e-05	8.0115e-05
2048	0.000101103	0.000106537	0.000165423	0.000188076
4096	0.000215544	0.000210859	0.000329912	0.000367413
8192	0.000434919	0.000425102	0.000663785	0.000736275
16384	0.000890172	0.000842766	0.00131949	0.00220003
32768	0.00185374	0.0017144	0.00266376	0.00506596
65536	0.00380735	0.00354396	0.00546379	0.0109669
131072	0.00839723	0.00724684	0.0116915	0.0237076
262144	0.0192531	0.0147652	0.0236914	0.0502001
524288	0.0375202	0.032087	0.0508627	0.107297
1048576	0.0819888	0.0638025	0.108534	0.227258
