64	4.896e-06	5.074e-06	8.093e-06	4.617e-06
128	1.0127e-05	1.3143e-05	2.1186e-05	1.143e-05
256	1.7449e-05	1.9766e-05	3.1481e-05	2.3875e-05
512	4.379e-05	3.9943e-05	6.3132e-05	5.6198e-05
1024	0.000101342	8.058e-05	0.000144533	0.000144958
2048	0.000219083	0.000161662	0.00025492	0.00027095
4096	0.000471523	0.00032705	0.000520152	0.000582366
8192	0.00100291	0.000675524	0.00106114	0.00124468
16384	0.00212397	0.00142236	0.00222467	0.00276377
32768	0.00445886	0.00303949	0.00470895	0.00622265
65536	0.0093929	0.00640518	0.010014	0.0139668
131072	0.0202127	0.0149112	0.0258415	0.0320485
262144	0.0438014	0.04816	0.0853728	0.0909728
524288	0.0947061	0.132264	0.241813	0.285448
1048576	0.21387	0.298249	0.583711	0.801854
