64	4.242e-06	6.418e-06	8.382e-06	5.209e-06
128	8.68e-06	1.148e-05	1.7007e-05	1.135e-05
256	2.0471e-05	2.3711e-05	3.4077e-05	2.6901e-05
512	5.0004e-05	4.6202e-05	6.957e-05	6.2332e-05
1024	0.00011931	9.4417e-05	0.000163494	0.000164936
2048	0.000254173	0.000191718	0.000283054	0.000355254
4096	0.000522511	0.000373202	0.000554928	0.00064714
8192	0.00107216	0.000711679	0.00107608	0.00135138
16384	0.00211361	0.00126827	0.00185737	0.0028161
32768	0.00400024	0.00223807	0.0033327	0.00585922
65536	0.0074576	0.00384277	0.00558771	0.0120558
131072	0.0151129	0.00679349	0.00995204	0.0246403
262144	0.0280026	0.0127576	0.0184135	0.0488291
524288	0.0550435	0.0249247	0.0355534	0.099694
1048576	0.111133	0.0487933	0.070365	0.198071
